City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Faanui,PF,79.29,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
6,Puerto Leguizamo,CO,77.77,overcast clouds,-0.1934,-74.7819,la casona de juancho
7,Atuona,PF,78.21,overcast clouds,-9.8,-139.0333,Villa Enata
8,Georgetown,MY,78.89,scattered clouds,5.4112,100.3354,Cititel Penang
9,Rikitea,PF,73.4,clear sky,-23.1203,-134.9692,People ThankYou
14,Arraial Do Cabo,BR,73.36,few clouds,-22.9661,-42.0278,Pousada Porto Praia
23,Seybaplaya,MX,77.74,broken clouds,19.65,-90.6667,sala de fiesta san Rafael
27,Mackay,AU,75.69,scattered clouds,-21.15,149.2,International Lodge Motel
31,Sarankhola,BD,70.5,few clouds,22.3082,89.7897,Red Crescent Cyclone Shelter Rashulpur
32,Bentiu,SS,77.47,overcast clouds,9.2333,29.8333,Mandela hôtel
33,Vaini,TO,79.07,broken clouds,-21.2,-175.2,Keleti Beach Resort
36,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
37,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
48,Butaritari,KI,80.73,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
49,Sinnamary,GF,82.53,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
50,Port Moresby,PG,77.07,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
51,Mahebourg,MU,74.25,light intensity shower rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
54,Kapaa,US,79.12,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
55,Lompoc,US,83.1,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
56,Nizwa,OM,71.74,few clouds,22.9333,57.5333,Orient Apartments
60,Acarau,BR,83.82,clear sky,-2.8856,-40.12,castelo pizzaria
61,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
67,Saint-Leu,RE,74.26,few clouds,-21.15,55.2833,La Caz Oceane
68,Mabaruma,GY,79.3,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
70,Manoel Urbano,BR,85.24,overcast clouds,-8.8389,-69.2597,Baixada Beira Rio
72,Port Elizabeth,ZA,70.11,overcast clouds,-33.918,25.5701,39 On Nile Guest House
74,Bairiki,KI,80.6,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
75,Catuday,PH,79.3,few clouds,16.2923,119.8062,Benjie's Kubo & Cottages
76,Cam Ranh,VN,76.96,broken clouds,11.9214,109.1591,OYO 598 Peony Hotel
77,Nouadhibou,MR,73.38,clear sky,20.931,-17.0347,El Medina
78,Kokopo,PG,77.11,broken clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
84,Kavaratti,IN,81.0,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
