City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Casablanca,33.5928,-7.6192,62.94,93,40,4.0,MA,scattered clouds
1,Severo-Kurilsk,50.6789,156.125,37.56,91,93,9.08,RU,overcast clouds
2,East London,-33.0153,27.9116,69.75,86,100,24.45,ZA,overcast clouds
3,Faanui,-16.4833,-151.75,79.29,69,14,11.05,PF,few clouds
4,Mudanya,40.3753,28.8822,49.37,59,4,2.86,TR,clear sky
5,Caruray,10.3094,119.0128,78.66,86,66,3.6,PH,broken clouds
6,Puerto Leguizamo,-0.1934,-74.7819,77.77,91,95,2.46,CO,overcast clouds
7,Atuona,-9.8,-139.0333,78.21,75,99,12.57,PF,overcast clouds
8,Georgetown,5.4112,100.3354,78.89,94,40,1.99,MY,scattered clouds
9,Rikitea,-23.1203,-134.9692,73.4,65,0,6.08,PF,clear sky
10,Hobart,-42.8794,147.3294,54.1,88,75,4.61,AU,broken clouds
11,Rantepao,-2.9701,119.8978,67.78,95,100,2.21,ID,overcast clouds
12,Lillesand,58.2488,8.3778,28.44,93,0,5.75,NO,clear sky
13,Saint-Francois,46.4154,3.9054,39.47,95,90,3.44,FR,overcast clouds
14,Arraial Do Cabo,-22.9661,-42.0278,73.36,53,20,8.05,BR,few clouds
15,Ponta Do Sol,32.6667,-17.1,68.0,85,58,8.23,PT,broken clouds
16,Orillia,44.6087,-79.4207,44.55,81,100,5.99,CA,overcast clouds
17,New Norfolk,-42.7826,147.0587,53.74,74,64,1.74,AU,broken clouds
18,Barrow,71.2906,-156.7887,-5.78,77,40,11.5,US,haze
19,Cape Town,-33.9258,18.4232,66.61,79,0,26.46,ZA,clear sky
20,Ballina,-28.8667,153.5667,68.18,96,75,2.3,AU,moderate rain
21,Mount Gambier,-37.8333,140.7667,44.51,93,40,6.91,AU,scattered clouds
22,Dikson,73.5069,80.5464,-7.24,69,13,13.49,RU,few clouds
23,Seybaplaya,19.65,-90.6667,77.74,83,80,7.02,MX,broken clouds
24,Hermanus,-34.4187,19.2345,69.91,87,100,17.63,ZA,overcast clouds
25,Port Alfred,-33.5906,26.891,69.46,85,86,26.96,ZA,overcast clouds
26,Busselton,-33.65,115.3333,61.09,91,100,12.53,AU,overcast clouds
27,Mackay,-21.15,149.2,75.69,94,43,2.3,AU,scattered clouds
28,Upernavik,72.7868,-56.1549,8.78,77,90,7.31,GL,overcast clouds
29,Evensk,61.95,159.2333,6.03,76,0,15.12,RU,clear sky
30,Provideniya,64.3833,-173.3,3.61,85,18,7.87,RU,few clouds
31,Sarankhola,22.3082,89.7897,70.5,76,17,3.56,BD,few clouds
32,Bentiu,9.2333,29.8333,77.47,24,86,6.06,SS,overcast clouds
33,Vaini,-21.2,-175.2,79.07,81,81,6.62,TO,broken clouds
34,Norman Wells,65.282,-126.8329,-16.56,69,75,3.44,CA,mist
35,Romitan,39.9343,64.3814,42.75,65,0,2.3,UZ,clear sky
36,Avarua,-21.2078,-159.775,80.65,74,75,5.75,CK,broken clouds
37,Puerto Ayora,-0.7393,-90.3518,78.76,76,61,10.89,EC,broken clouds
38,Skovorodino,53.9833,123.9167,7.34,71,100,3.22,RU,overcast clouds
39,Redmond,47.674,-122.1215,48.34,88,90,1.01,US,overcast clouds
40,Ushuaia,-54.8,-68.3,40.66,70,40,28.77,AR,light rain
41,Dukat,62.55,155.55,-19.32,100,100,4.12,RU,overcast clouds
42,Nehe,48.4833,124.8333,13.33,91,100,15.82,CN,overcast clouds
43,Mataura,-46.1927,168.8643,49.37,99,100,1.36,NZ,overcast clouds
44,Uglovka,58.2392,33.5108,29.07,94,97,8.55,RU,overcast clouds
45,Atasu,48.6814,71.6433,30.18,63,100,20.0,KZ,overcast clouds
46,Adrar,20.5022,-10.0711,80.1,24,75,3.36,MR,broken clouds
47,Abnub,27.2696,31.1511,57.42,47,0,4.36,EG,clear sky
48,Butaritari,3.0707,172.7902,80.73,79,47,9.57,KI,scattered clouds
49,Sinnamary,5.3833,-52.95,82.53,72,27,9.55,GF,scattered clouds
50,Port Moresby,-9.4431,147.1797,77.07,89,99,2.86,PG,overcast clouds
51,Mahebourg,-20.4081,57.7,74.25,83,75,2.3,MU,light intensity shower rain
52,Thompson,55.7435,-97.8558,6.96,66,1,19.57,CA,clear sky
53,Half Moon Bay,37.4636,-122.4286,69.87,50,1,10.36,US,clear sky
54,Kapaa,22.0752,-159.319,79.12,76,20,3.0,US,few clouds
55,Lompoc,34.6391,-120.4579,83.1,36,1,0.0,US,clear sky
56,Nizwa,22.9333,57.5333,71.74,35,12,4.29,OM,few clouds
57,Hasaki,35.7333,140.8333,61.2,75,100,24.0,JP,overcast clouds
58,Hualmay,-11.0964,-77.6139,69.42,75,87,9.57,PE,overcast clouds
59,Roscrea,52.9511,-7.8017,37.47,91,6,4.83,IE,clear sky
60,Acarau,-2.8856,-40.12,83.82,63,3,16.98,BR,clear sky
61,Bathsheba,13.2167,-59.5167,84.81,65,40,14.97,BB,scattered clouds
62,Ribeira Grande,38.5167,-28.7,64.8,82,20,19.57,PT,few clouds
63,Qaanaaq,77.484,-69.3632,-8.27,69,62,6.51,GL,broken clouds
64,Stornoway,58.2093,-6.3865,40.03,85,20,1.99,GB,few clouds
65,Albany,42.6001,-73.9662,50.58,56,100,1.99,US,overcast clouds
66,Punta Arenas,-53.15,-70.9167,46.51,42,75,23.02,CL,broken clouds
67,Saint-Leu,-21.15,55.2833,74.26,90,18,3.31,RE,few clouds
68,Mabaruma,8.2,-59.7833,79.3,87,100,3.42,GY,overcast clouds
69,Helena,46.5927,-112.0361,48.16,25,100,6.15,US,overcast clouds
70,Manoel Urbano,-8.8389,-69.2597,85.24,62,100,2.66,BR,overcast clouds
71,Lakhnau,26.85,80.9167,64.38,88,0,2.3,IN,mist
72,Port Elizabeth,-33.918,25.5701,70.11,86,99,15.97,ZA,overcast clouds
73,Kaitangata,-46.2817,169.8464,50.74,92,100,3.62,NZ,overcast clouds
74,Bairiki,1.3292,172.9752,80.6,89,75,5.75,KI,broken clouds
75,Catuday,16.2923,119.8062,79.3,81,11,5.61,PH,few clouds
76,Cam Ranh,11.9214,109.1591,76.96,94,75,3.44,VN,broken clouds
77,Nouadhibou,20.931,-17.0347,73.38,60,0,10.36,MR,clear sky
78,Kokopo,-4.352,152.2633,77.11,81,71,4.18,PG,broken clouds
79,Nikolskoye,59.7035,30.7861,30.09,78,37,10.22,RU,scattered clouds
80,Tuktoyaktuk,69.4541,-133.0374,-16.6,76,1,2.3,CA,clear sky
81,Karlshamn,56.1706,14.8619,34.52,81,9,7.65,SE,clear sky
82,Uglovskoye,51.3557,80.1942,25.27,66,100,21.41,RU,overcast clouds
83,Rosoman,41.5161,21.9497,38.48,76,0,1.63,MK,clear sky
84,Kavaratti,10.5669,72.642,81.0,73,4,9.98,IN,clear sky
85,Whitehorse,60.7161,-135.0538,-1.43,84,90,5.75,CA,light snow
86,Kungurtug,50.5994,97.5228,-1.61,91,72,1.79,RU,broken clouds
87,Bethel,41.3712,-73.414,55.04,50,74,3.0,US,broken clouds
88,Moron,-34.6534,-58.6198,98.96,44,6,10.0,AR,clear sky
89,New Glasgow,45.5834,-62.6486,44.91,71,100,11.41,CA,overcast clouds
90,Greensburg,40.3015,-79.5389,50.68,63,90,1.99,US,overcast clouds
91,Keetmanshoop,-26.5833,18.1333,70.72,24,0,17.38,NA,clear sky
92,Santa Fe,-31.6333,-60.7,96.75,18,0,4.0,AR,light rain
93,Dunedin,-45.8742,170.5036,52.47,92,100,7.27,NZ,overcast clouds
94,Ponta Delgada,37.7333,-25.6667,62.51,82,40,9.22,PT,scattered clouds
95,Comodoro Rivadavia,-45.8667,-67.5,58.86,55,75,14.97,AR,light rain
96,Jamestown,42.097,-79.2353,39.02,94,90,5.99,US,light rain
97,Montepuez,-13.1256,38.9997,72.93,74,1,7.67,MZ,clear sky
98,Petropavlovsk-Kamchatskiy,53.0452,158.6483,34.39,60,75,20.13,RU,broken clouds
99,Khatanga,71.9667,102.5,-35.82,95,16,5.06,RU,few clouds
100,Udachnyy,66.4167,112.4,-8.66,99,100,3.33,RU,overcast clouds
101,Hirado,33.3597,129.5531,58.35,89,100,16.62,JP,moderate rain
102,Cape Coast,5.1053,-1.2466,81.16,82,30,7.25,GH,scattered clouds
103,Bilisht,40.6275,20.99,30.96,86,0,3.65,AL,clear sky
104,Yellowknife,62.456,-114.3525,3.42,89,75,11.5,CA,light snow
105,Coromandel,-18.4733,-47.2003,76.24,75,56,3.27,BR,broken clouds
106,Tuatapere,-46.1333,167.6833,50.86,94,100,1.3,NZ,overcast clouds
107,Lavrentiya,65.5833,-171.0,0.27,89,6,8.84,RU,clear sky
108,Ocampo,21.65,-101.5,72.28,26,0,1.97,MX,clear sky
109,Bluff,-46.6,168.3333,51.82,84,100,7.74,NZ,overcast clouds
110,Soto La Marina,23.7667,-98.2167,84.78,43,0,12.17,MX,clear sky
111,Tura,25.5198,90.2201,62.24,77,0,2.51,IN,clear sky
112,Pampa,35.5362,-100.9599,59.95,33,1,17.27,US,clear sky
113,Los Llanos De Aridane,28.6585,-17.9182,71.35,96,40,10.36,ES,volcanic ash
114,Ecoporanga,-18.3733,-40.8306,65.93,94,100,2.93,BR,overcast clouds
115,Quepos,9.4236,-84.1652,92.5,77,51,4.74,CR,broken clouds
116,Sendafa,9.15,39.0333,50.99,42,94,5.66,ET,overcast clouds
117,Labuan,5.2767,115.2417,79.16,94,20,0.0,MY,few clouds
118,Yerbogachen,61.2767,108.0108,-16.6,100,75,3.67,RU,broken clouds
119,Kruisfontein,-34.0033,24.7314,67.89,86,100,9.24,ZA,overcast clouds
120,Presidencia Roque Saenz Pena,-26.7852,-60.4388,92.32,23,34,4.61,AR,scattered clouds
121,Tual,-5.6667,132.75,83.62,72,77,3.78,ID,broken clouds
122,Rocha,-34.4833,-54.3333,85.96,40,63,7.31,UY,broken clouds
123,Shawnee,39.05,-95.7669,60.94,39,1,3.0,US,clear sky
124,Mayo,38.8876,-76.5119,55.45,71,90,4.0,US,overcast clouds
125,Kodiak,57.79,-152.4072,20.71,58,1,0.0,US,clear sky
126,Mar Del Plata,-38.0023,-57.5575,78.82,66,0,11.99,AR,clear sky
