City_ID,City,Coounty,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,grand gaube,MU,2021-11-16 05:16:39,-20.0064,57.6608,81.37,63,31,8.99
1,jinka,ET,2021-11-16 05:16:39,5.65,36.65,70.18,61,82,3.06
2,mataura,NZ,2021-11-16 05:15:21,-46.1927,168.8643,52.54,73,100,9.69
3,begles,FR,2021-11-16 05:16:39,44.8084,-0.5481,48.4,94,90,5.75
4,mortka,RU,2021-11-16 05:16:39,59.3322,66.0214,14.56,88,13,8.97
5,albany,US,2021-11-16 05:15:26,42.6001,-73.9662,36.09,79,23,1.01
6,ushuaia,AR,2021-11-16 05:11:29,-54.8,-68.3,44.26,61,20,0.0
7,kahului,US,2021-11-16 05:16:33,20.8947,-156.47,78.82,86,40,6.91
8,magadan,RU,2021-11-16 05:16:40,59.5667,150.8,24.53,78,100,10.25
9,avarua,CK,2021-11-16 05:15:45,-21.2078,-159.775,73.45,88,75,10.36
10,santiago de cao,PE,2021-11-16 05:16:40,-7.9589,-79.2392,62.15,90,51,11.43
11,bredasdorp,ZA,2021-11-16 05:15:27,-34.5322,20.0403,60.28,76,100,5.59
12,saint-francois,FR,2021-11-16 05:16:40,46.4154,3.9054,44.47,92,90,4.61
13,lusambo,CD,2021-11-16 05:16:41,-4.9667,23.45,69.04,99,98,1.77
14,mayo,US,2021-11-16 05:16:02,38.8876,-76.5119,42.94,64,1,1.01
15,jamestown,US,2021-11-16 05:14:29,42.097,-79.2353,35.51,97,90,8.99
16,klaksvik,FO,2021-11-16 05:15:54,62.2266,-6.589,49.12,95,100,31.27
17,maceio,BR,2021-11-16 05:16:41,-9.6658,-35.7353,78.24,83,75,3.44
18,kaitangata,NZ,2021-11-16 05:14:15,-46.2817,169.8464,57.74,52,94,14.27
19,khatanga,RU,2021-11-16 05:15:41,71.9667,102.5,-26.82,100,90,1.48
20,yellowknife,CA,2021-11-16 05:15:37,62.456,-114.3525,14.41,95,40,4.61
21,bethel,US,2021-11-16 05:15:58,41.3712,-73.414,41.05,72,1,1.01
22,bismarck,US,2021-11-16 05:16:42,46.8083,-100.7837,40.06,92,1,12.66
23,bluff,NZ,2021-11-16 05:15:33,-46.6,168.3333,52.0,73,100,28.39
24,hithadhoo,MV,2021-11-16 05:15:17,-0.6,73.0833,82.89,71,54,16.15
25,gasa,PS,2021-11-16 05:16:42,31.5,34.4667,62.91,59,1,3.91
26,kapaa,US,2021-11-16 05:15:26,22.0752,-159.319,75.18,83,75,3.44
27,wenling,CN,2021-11-16 05:16:42,28.3669,121.36,65.91,74,91,7.54
28,zambezi,ZM,2021-11-16 05:16:43,-13.5432,23.1047,66.63,82,85,3.89
29,hobart,AU,2021-11-16 05:13:08,-42.8794,147.3294,59.02,55,75,1.99
30,bambous virieux,MU,2021-11-16 05:16:11,-20.3428,57.7575,81.21,69,75,11.5
31,vicuna,CL,2021-11-16 05:15:17,-30.0319,-70.7081,47.93,46,0,1.19
32,adrar,MR,2021-11-16 05:15:48,20.5022,-10.0711,70.54,33,98,9.06
33,mar del plata,AR,2021-11-16 05:15:34,-38.0023,-57.5575,59.02,94,90,11.99
34,bhatkal,IN,2021-11-16 05:12:56,13.9667,74.5667,82.89,76,55,5.48
35,qasigiannguit,GL,2021-11-16 05:16:43,68.8193,-51.1922,-2.18,88,100,6.22
36,high prairie,CA,2021-11-16 05:16:43,55.4334,-116.4858,25.9,94,100,11.34
37,talovaya,RU,2021-11-16 05:16:44,51.1144,40.73,23.14,93,31,1.12
38,buzmeyin,TM,2021-11-16 05:16:44,38.0507,58.2056,49.73,62,75,6.91
39,cabo san lucas,MX,2021-11-16 05:16:27,22.8909,-109.9124,78.51,73,100,1.45
40,colares,PT,2021-11-16 05:16:44,38.7992,-9.4469,57.33,54,96,5.99
41,busselton,AU,2021-11-16 05:15:30,-33.65,115.3333,73.9,57,1,10.13
42,liverpool,GB,2021-11-16 05:13:51,53.4106,-2.9779,50.18,93,82,1.01
43,flin flon,CA,2021-11-16 05:14:16,54.7682,-101.865,29.14,91,100,9.24
44,saint george,US,2021-11-16 05:12:42,37.1041,-113.5841,65.35,42,1,3.44
45,tasiilaq,GL,2021-11-16 05:15:20,65.6145,-37.6368,26.76,61,81,10.78
46,hilo,US,2021-11-16 05:15:23,19.7297,-155.09,75.79,91,20,0.0
47,kendari,ID,2021-11-16 05:16:45,-3.945,122.4989,82.9,72,100,7.23
48,atuona,PF,2021-11-16 05:14:19,-9.8,-139.0333,78.42,73,24,13.89
49,vaini,TO,2021-11-16 05:15:31,-21.2,-175.2,78.96,83,20,9.22
50,naryan-mar,RU,2021-11-16 05:16:45,67.6713,53.087,6.49,89,85,5.59
51,butaritari,KI,2021-11-16 05:15:24,3.0707,172.7902,83.01,70,89,13.87
52,luderitz,NA,2021-11-16 05:15:56,-26.6481,15.1594,65.39,62,3,15.48
53,ucluelet,CA,2021-11-16 05:16:45,48.9329,-125.5528,42.1,83,19,24.65
54,orangeburg,US,2021-11-16 05:16:45,33.4918,-80.8557,42.76,40,0,3.15
55,zinacantan,MX,2021-11-16 05:16:46,16.75,-92.7,44.4,93,81,5.28
56,hermanus,ZA,2021-11-16 05:15:21,-34.4187,19.2345,63.9,77,100,4.56
57,norman wells,CA,2021-11-16 05:15:54,65.282,-126.8329,-2.16,78,75,6.91
58,ilulissat,GL,2021-11-16 05:15:49,69.2167,-51.1,-1.97,89,100,7.07
59,rikitea,PF,2021-11-16 05:13:00,-23.1203,-134.9692,73.99,85,99,14.67
60,upernavik,GL,2021-11-16 05:12:50,72.7868,-56.1549,1.71,65,67,6.49
61,nanortalik,GL,2021-11-16 05:15:20,60.1432,-45.2371,16.57,60,0,23.24
62,mettur,IN,2021-11-16 05:16:46,11.8,77.8,83.46,87,100,4.76
63,wanning,CN,2021-11-16 05:16:46,18.8003,110.3967,80.78,74,82,12.41
64,thompson,CA,2021-11-16 05:15:38,55.7435,-97.8558,26.76,93,90,3.44
65,yumen,CN,2021-11-16 05:16:47,40.2833,97.2,38.8,24,100,22.77
66,kavaratti,IN,2021-11-16 05:16:47,10.5669,72.642,80.46,80,99,13.58
67,beberibe,BR,2021-11-16 05:16:47,-4.1797,-38.1306,85.15,73,70,13.53
68,nizhniy tsasuchey,RU,2021-11-16 05:16:48,50.5167,115.1333,35.15,39,100,4.83
69,clyde river,CA,2021-11-16 05:15:40,70.4692,-68.5914,0.73,83,93,4.32
70,torbay,CA,2021-11-16 05:13:02,47.6666,-52.7314,45.28,95,90,28.77
71,sakakah,SA,2021-11-16 05:16:48,29.9697,40.2064,54.97,33,16,5.84
72,sao filipe,CV,2021-11-16 05:15:41,14.8961,-24.4956,75.97,77,96,4.94
73,kudryashovskiy,RU,2021-11-16 05:16:48,55.0974,82.7742,17.49,86,75,4.47
74,vestmannaeyjar,IS,2021-11-16 05:16:48,63.4427,-20.2734,37.96,93,100,34.83
75,georgetown,MY,2021-11-16 05:15:12,5.4112,100.3354,89.53,77,20,8.05
76,qaanaaq,GL,2021-11-16 05:13:01,77.484,-69.3632,1.53,85,100,9.4
77,neyyattinkara,IN,2021-11-16 05:16:49,8.4,77.0833,84.06,72,100,4.79
78,geraldton,AU,2021-11-16 05:16:49,-28.7667,114.6,75.61,53,75,14.97
79,lagunas,PE,2021-11-16 05:16:49,-5.2269,-75.6753,74.75,89,99,2.3
80,severo-kurilsk,RU,2021-11-16 05:16:50,50.6789,156.125,35.31,60,72,24.11
81,banyo,CM,2021-11-16 05:16:50,6.75,11.8167,68.63,73,100,1.99
82,frontera,MX,2021-11-16 05:16:50,26.9333,-101.45,70.32,43,0,4.0
83,saskylakh,RU,2021-11-16 05:15:59,71.9167,114.0833,-28.26,100,73,3.91
84,kodiak,US,2021-11-16 05:15:36,57.79,-152.4072,18.91,86,1,6.91
85,bandarbeyla,SO,2021-11-16 05:15:31,9.4942,50.8122,79.3,65,100,10.38
86,krasnoselkup,RU,2021-11-16 05:16:50,65.7,82.4667,3.94,95,100,16.02
87,acarau,BR,2021-11-16 05:16:51,-2.8856,-40.12,80.35,75,33,13.98
88,xai-xai,MZ,2021-11-16 05:16:51,-25.0519,33.6442,79.29,64,10,13.47
89,santa cruz cabralia,BR,2021-11-16 05:16:51,-16.2781,-39.0247,73.63,94,90,5.75
90,beringovskiy,RU,2021-11-16 05:16:52,63.05,179.3167,28.2,96,100,10.78
91,ancud,CL,2021-11-16 05:15:49,-41.8697,-73.8203,40.42,81,3,5.19
92,tuktoyaktuk,CA,2021-11-16 05:14:46,69.4541,-133.0374,2.75,92,100,5.37
93,san luis potosi,MX,2021-11-16 05:16:41,22.5,-100.5,55.94,86,9,3.4
94,cape town,ZA,2021-11-16 05:13:11,-33.9258,18.4232,67.08,73,100,9.28
95,matveyevka,RU,2021-11-16 05:16:52,52.15,56.1833,13.15,96,18,3.36
96,sinnamary,GF,2021-11-16 05:16:52,5.3833,-52.95,77.72,85,72,8.86
97,saint anthony,US,2021-11-16 05:16:19,45.0205,-93.218,32.32,76,1,3.0
98,ciparay,ID,2021-11-16 05:16:53,-7.4249,108.4742,88.43,61,95,3.98
99,norilsk,RU,2021-11-16 05:16:53,69.3535,88.2027,0.63,94,100,9.78
100,port hawkesbury,CA,2021-11-16 05:16:53,45.6169,-61.3485,44.19,86,90,14.0
101,alofi,NU,2021-11-16 05:16:53,-19.0595,-169.9187,75.09,78,25,6.91
102,saint-augustin,CA,2021-11-16 05:16:54,51.226,-58.6502,36.91,98,100,21.39
103,auki,SB,2021-11-16 05:16:54,-8.7676,160.7034,83.23,72,87,0.96
104,puerto ayora,EC,2021-11-16 05:15:42,-0.7393,-90.3518,68.86,79,45,8.55
105,kingsville,US,2021-11-16 05:16:54,27.5159,-97.8561,73.81,91,1,8.05
106,belle fourche,US,2021-11-16 05:16:54,44.6714,-103.8522,67.51,17,100,10.18
107,sao felix do xingu,BR,2021-11-16 05:15:56,-6.6447,-51.995,72.05,98,100,0.16
108,fukue,JP,2021-11-16 05:16:55,32.6881,128.8419,64.76,55,75,8.05
109,pozoblanco,ES,2021-11-16 05:16:55,38.3791,-4.8483,34.38,68,84,3.36
110,soyo,AO,2021-11-16 05:16:55,-6.1349,12.3689,78.44,89,100,8.99
